Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
90.71427,7,12,6,5,129,399,1148
90.734276,8,12,5,5,198,403,1158
90.75427,8,12,6,5,198,399,1155
90.77428,7,13,6,5,70,398,1143
90.79427,8,12,6,4,198,394,1152
90.834274,7,12,6,5,129,399,1148
90.85428,7,12,6,5,129,399,1148
90.874275,8,12,6,4,198,394,1152
90.89427,7,12,6,5,129,399,1148
90.914276,7,12,6,5,129,399,1148
90.93427,8,12,6,4,198,394,1152
90.95428,7,12,6,5,129,399,1148
90.97427,7,12,6,5,129,399,1148
90.99428,8,12,6,4,198,394,1152
91.014275,7,11,6,5,186,399,1153
91.03427,7,12,6,4,155,394,1144
91.054276,7,12,6,4,155,394,1144
91.07427,7,12,6,4,155,394,1144
91.09428,7,12,6,5,129,399,1148
91.11427,7,13,5,5,22,402,1146
91.13428,7,12,5,4,135,398,1147
91.154274,7,12,6,5,129,399,1148
91.17428,7,12,5,5,90,403,1150
91.194275,8,11,6,4,182,395,1157
91.21427,7,12,6,4,155,394,1144
91.234276,8,12,6,4,198,394,1152
91.25427,7,12,5,5,90,403,1150
91.27428,7,12,6,5,129,399,1148
91.29427,8,12,6,4,198,394,1152
91.31428,8,11,6,5,170,400,1160
91.334274,8,12,6,4,198,394,1152
91.35428,8,12,6,4,198,394,1152
91.374275,8,12,6,4,198,394,1152
91.39427,8,12,6,4,198,394,1152
91.414276,8,11,6,5,170,400,1160
91.43427,7,12,5,5,90,403,1150
91.45428,7,12,6,5,129,399,1148
91.47427,7,12,6,5,129,399,1148
91.49428,7,12,6,5,129,399,1148
91.514275,7,12,6,5,129,399,1148
91.53427,7,12,5,4,135,398,1147
91.554276,8,11,6,4,182,395,1157
91.57427,7,12,6,5,129,399,1148
91.59428,7,12,5,5,90,403,1150
91.61427,8,12,5,4,198,398,1155
91.63428,7,13,5,5,22,402,1146
91.654274,7,12,6,5,129,399,1148
91.67428,7,12,6,5,129,399,1148
91.694275,7,12,5,5,90,403,1150
91.71427,8,12,6,4,198,394,1152
91.734276,7,12,6,5,129,399,1148
91.75427,8,11,6,4,182,395,1157
91.77428,8,12,5,4,198,398,1155
91.79427,7,12,5,5,90,403,1150
91.81428,7,12,6,5,129,399,1148
91.834274,8,13,6,4,180,394,1147
91.85428,7,12,6,5,129,399,1148
91.874275,8,11,6,5,170,400,1160
91.89427,8,12,5,4,198,398,1155
91.914276,8,12,5,4,198,398,1155
91.93427,8,12,6,4,198,394,1152
91.95428,7,12,6,5,129,399,1148
91.97427,8,12,6,4,198,394,1152
91.99428,8,12,6,5,198,399,1155
92.014275,8,13,6,4,180,394,1147
92.03427,8,12,6,4,198,394,1152
92.054276,8,12,5,4,198,398,1155
92.07427,8,12,5,4,198,398,1155
92.09428,8,12,6,4,198,394,1152
92.11427,8,12,6,4,198,394,1152
92.13428,7,12,6,5,129,399,1148
92.154274,7,13,5,5,22,402,1146
92.17428,8,12,6,4,198,394,1152
92.194275,7,12,6,5,129,399,1148
92.21427,7,12,5,5,90,403,1150
92.234276,8,12,5,4,198,398,1155
92.25427,8,12,5,4,198,398,1155
92.27428,8,12,5,4,198,398,1155
92.29427,7,12,6,5,129,399,1148
92.31428,7,12,6,5,129,399,1148
92.334274,8,13,6,4,180,394,1147
92.35428,8,12,6,4,198,394,1152
92.374275,8,13,5,4,171,398,1150
92.39427,7,12,6,4,155,394,1144
92.414276,7,12,6,5,129,399,1148
92.43427,8,12,6,5,198,399,1155
92.45428,8,12,6,4,198,394,1152
92.47427,8,13,5,4,171,398,1150
92.49428,8,12,6,4,198,394,1152
92.514275,8,12,6,4,198,394,1152
92.53427,8,13,5,4,171,398,1150
92.554276,7,12,6,5,129,399,1148
92.57427,8,12,5,4,198,398,1155
92.59428,7,12,5,5,90,403,1150
92.61427,8,12,6,4,198,394,1152
92.63428,7,12,6,5,129,399,1148
92.654274,8,12,6,4,198,394,1152
92.67428,7,12,6,5,129,399,1148
92.694275,7,12,6,4,155,394,1144
92.71427,7,12,5,5,90,403,1150
92.734276,7,12,6,5,129,399,1148
92.75427,8,12,5,4,198,398,1155
92.77428,7,12,6,5,129,399,1148
92.79427,8,12,6,4,198,394,1152
92.81428,7,12,6,5,129,399,1148
92.834274,8,12,6,4,198,394,1152
92.85428,7,12,6,5,129,399,1148
92.874275,8,12,6,4,198,394,1152
92.89427,7,12,5,5,90,403,1150
92.914276,8,12,6,4,198,394,1152
92.93427,8,12,6,4,198,394,1152
92.95428,8,12,6,4,198,394,1152
92.97427,7,12,6,5,129,399,1148
92.99428,8,12,5,4,198,398,1155
93.014275,7,11,6,5,186,399,1153
93.03427,7,11,6,5,186,399,1153
93.054276,8,12,6,5,198,399,1155
93.07427,8,12,5,4,198,398,1155
93.09428,7,12,6,5,129,399,1148
93.11427,7,12,6,5,129,399,1148
93.13428,7,12,6,5,129,399,1148
93.154274,7,12,5,4,135,398,1147
93.17428,7,11,6,5,186,399,1153
93.194275,7,12,6,5,129,399,1148
93.21427,8,12,6,4,198,394,1152
93.234276,8,11,6,4,182,395,1157
93.25427,7,12,6,5,129,399,1148
93.27428,7,12,6,5,129,399,1148
93.29427,8,12,5,4,198,398,1155
93.31428,7,12,6,5,129,399,1148
93.334274,7,11,6,5,186,399,1153
93.35428,7,12,6,5,129,399,1148
93.374275,8,12,6,4,198,394,1152
93.39427,8,12,6,4,198,394,1152
93.414276,7,12,5,5,90,403,1150
93.43427,8,12,5,4,198,398,1155
93.45428,8,12,6,5,198,399,1155
93.47427,7,12,6,5,129,399,1148
93.49428,7,12,6,6,90,403,1150
93.514275,7,12,5,5,90,403,1150
93.53427,7,12,6,5,129,399,1148
93.554276,8,12,6,4,198,394,1152
93.57427,8,12,6,4,198,394,1152
93.59428,8,12,6,5,198,399,1155
93.61427,8,13,6,4,180,394,1147
93.63428,7,11,6,5,186,399,1153
93.654274,7,11,6,5,186,399,1153
93.67428,8,12,6,4,198,394,1152
93.694275,7,12,6,5,129,399,1148
93.71427,7,12,6,5,129,399,1148
93.734276,7,12,6,5,129,399,1148
93.75427,8,12,6,4,198,394,1152
93.77428,8,12,7,5,198,396,1153
93.79427,8,12,6,4,198,394,1152
93.81428,8,12,6,4,198,394,1152
93.834274,7,12,6,5,129,399,1148
93.85428,8,11,6,4,182,395,1157
93.874275,7,12,6,5,129,399,1148
93.89427,7,12,6,5,129,399,1148
93.914276,8,12,6,4,198,394,1152
93.93427,8,12,6,4,198,394,1152
93.95428,7,12,6,5,129,399,1148
93.97427,8,12,6,5,198,399,1155
93.99428,7,12,5,5,90,403,1150
94.014275,7,12,6,5,129,399,1148
94.03427,8,12,6,4,198,394,1152
94.054276,8,12,6,4,198,394,1152
94.07427,7,12,6,5,129,399,1148
94.09428,7,12,6,5,129,399,1148
94.11427,8,12,6,4,198,394,1152
94.13428,7,12,6,5,129,399,1148
94.154274,7,12,6,5,129,399,1148
94.17428,8,11,6,4,182,395,1157
94.194275,7,12,6,5,129,399,1148
94.21427,7,12,6,5,129,399,1148
94.234276,7,12,6,5,129,399,1148
94.25427,8,13,5,4,171,398,1150
94.27428,7,12,6,5,129,399,1148
94.29427,7,12,6,5,129,399,1148
94.31428,7,12,6,5,129,399,1148
94.334274,7,11,6,5,186,399,1153
94.35428,7,12,6,5,129,399,1148
94.374275,8,12,6,4,198,394,1152
94.39427,7,12,6,5,129,399,1148
94.414276,8,12,6,4,198,394,1152
94.43427,8,12,6,5,198,399,1155
94.45428,7,12,6,5,129,399,1148
94.47427,7,12,6,5,129,399,1148
94.49428,8,11,6,4,182,395,1157
94.514275,7,12,6,5,129,399,1148
94.53427,8,12,6,4,198,394,1152
94.554276,8,12,6,4,198,394,1152
94.57427,8,12,6,4,198,394,1152
94.59428,8,12,6,5,198,399,1155
94.61427,8,12,6,5,198,399,1155
94.63428,7,12,6,5,129,399,1148
94.654274,8,12,5,4,198,398,1155
94.67428,8,12,6,4,198,394,1152
94.694275,7,12,6,5,129,399,1148
94.71427,7,12,6,5,129,399,1148
94.734276,8,12,6,4,198,394,1152
94.75427,8,12,6,5,198,399,1155
94.77428,8,12,6,4,198,394,1152
94.79427,7,11,6,5,186,399,1153
94.81428,8,12,5,4,198,398,1155
94.834274,7,12,6,5,129,399,1148
94.874275,7,12,6,5,129,399,1148
94.89427,7,12,6,5,129,399,1148
94.914276,7,12,6,5,129,399,1148
94.93427,8,12,6,5,198,399,1155
94.95428,8,12,6,5,198,399,1155
94.97427,8,12,6,5,198,399,1155
94.99428,7,12,6,5,129,399,1148
95.014275,8,11,6,5,170,400,1160
95.03427,7,12,6,5,129,399,1148
95.054276,7,12,6,5,129,399,1148
95.07427,8,12,6,4,198,394,1152
95.09428,8,12,6,5,198,399,1155
95.11427,8,12,7,5,198,396,1153
95.13428,8,11,6,4,182,395,1157
95.154274,8,12,5,4,198,398,1155
95.17428,7,12,6,5,129,399,1148
95.194275,8,12,6,4,198,394,1152
95.21427,8,12,6,4,198,394,1152
95.234276,7,12,6,5,129,399,1148
95.25427,7,12,6,5,129,399,1148
95.27428,7,13,6,6,22,402,1146
95.29427,8,12,6,4,198,394,1152
95.31428,7,12,6,5,129,399,1148
95.334274,7,11,6,5,186,399,1153
95.35428,7,12,6,6,90,403,1150
95.374275,8,12,6,4,198,394,1152
95.39427,8,12,6,6,198,403,1158
95.414276,8,12,6,4,198,394,1152
95.43427,8,12,6,4,198,394,1152
95.45428,8,12,6,4,198,394,1152
95.47427,7,12,6,5,129,399,1148
95.49428,7,11,6,5,186,399,1153
95.514275,8,11,6,4,182,395,1157
95.554276,7,12,6,5,129,399,1148
95.57427,7,12,6,5,129,399,1148
95.59428,7,12,6,6,90,403,1150
95.61427,7,13,5,5,22,402,1146
95.63428,7,12,6,5,129,399,1148
95.654274,8,12,6,4,198,394,1152
95.67428,7,12,6,5,129,399,1148
95.694275,8,12,6,4,198,394,1152
95.71427,7,12,6,5,129,399,1148
95.734276,7,12,6,5,129,399,1148
95.75427,8,12,6,5,198,399,1155
95.77428,8,12,6,4,198,394,1152
95.79427,8,12,6,5,198,399,1155
95.81428,8,12,6,4,198,394,1152
95.834274,8,12,6,4,198,394,1152
95.85428,8,12,6,4,198,394,1152
95.874275,8,12,6,5,198,399,1155
95.89427,7,12,6,5,129,399,1148
95.914276,7,11,6,4,191,394,1149
95.93427,7,12,6,5,129,399,1148
95.95428,8,12,6,4,198,394,1152
95.97427,8,12,6,5,198,399,1155
95.99428,7,12,6,5,129,399,1148
96.014275,7,12,6,5,129,399,1148
96.03427,7,12,6,5,129,399,1148
96.054276,7,12,6,5,129,399,1148
